	kreis_id	kreis	size	population	bundesland_id	bundesland	factor
89	5512	Bottrop, Stadt	100.61	117364	5	Nordrhein-Westfalen	1167
90	5513	Gelsenkirchen, Stadt	104.94	260305	5	Nordrhein-Westfalen	2481
91	5515	Münster, Stadt	303.28	313559	5	Nordrhein-Westfalen	1034
92	5554	Borken	1420.96	369718	5	Nordrhein-Westfalen	260
93	5558	Coesfeld	1112.03	219360	5	Nordrhein-Westfalen	197
94	5562	Recklinghausen	761.32	616824	5	Nordrhein-Westfalen	810
95	5566	Steinfurt	1795.76	446565	5	Nordrhein-Westfalen	249
96	5570	Warendorf	1319.42	277458	5	Nordrhein-Westfalen	210
97	5711	Bielefeld, Stadt	258.82	332552	5	Nordrhein-Westfalen	1285
98	5754	Gütersloh	969.21	363049	5	Nordrhein-Westfalen	375
99	5758	Herford	450.41	251539	5	Nordrhein-Westfalen	558
100	5762	Höxter	1201.42	141565	5	Nordrhein-Westfalen	118
101	5766	Lippe	1246.19	349069	5	Nordrhein-Westfalen	280
102	5770	Minden-Lübbecke	1152.41	311207	5	Nordrhein-Westfalen	270
103	5774	Paderborn	1246.78	305362	5	Nordrhein-Westfalen	245
104	5911	Bochum, Stadt	145.66	365529	5	Nordrhein-Westfalen	2509
105	5913	Dortmund, Stadt	280.71	586600	5	Nordrhein-Westfalen	2090
106	5914	Hagen, Stadt	160.45	187730	5	Nordrhein-Westfalen	1170
107	5915	Hamm, Stadt	226.43	179185	5	Nordrhein-Westfalen	791
108	5916	Herne, Stadt	51.42	156490	5	Nordrhein-Westfalen	3043
109	5954	Ennepe-Ruhr-Kreis	409.64	324670	5	Nordrhein-Westfalen	793
110	5958	Hochsauerlandkreis	1960.15	261591	5	Nordrhein-Westfalen	133
111	5962	Märkischer Kreis	1061.08	413383	5	Nordrhein-Westfalen	390
112	5966	Olpe	712.14	134808	5	Nordrhein-Westfalen	189
113	5970	Siegen-Wittgenstein	1132.89	277977	5	Nordrhein-Westfalen	245
114	5974	Soest	1328.62	301693	5	Nordrhein-Westfalen	227
115	5978	Unna	543.21	393934	5	Nordrhein-Westfalen	725
116	6411	Darmstadt, Stadt	122.09	158254	6	Hessen	1296
117	6412	Frankfurt am Main, Stadt	248.31	746878	6	Hessen	3008
118	6413	Offenbach am Main, Stadt	44.89	126658	6	Hessen	2822
119	6414	Wiesbaden, Stadt	203.93	278654	6	Hessen	1366
120	6431	Bergstraße	719.51	268780	6	Hessen	374
121	6432	Darmstadt-Dieburg	658.63	296048	6	Hessen	449
122	6433	Groß-Gerau	453.03	271403	6	Hessen	599
123	6434	Hochtaunuskreis	482.0	235995	6	Hessen	490
124	6435	Main-Kinzig-Kreis	1397.55	418208	6	Hessen	299
125	6436	Main-Taunus-Kreis	222.39	236969	6	Hessen	1066
126	6437	Odenwaldkreis	623.97	96597	6	Hessen	155
127	6438	Offenbach	356.29	351692	6	Hessen	987
128	6439	Rheingau-Taunus-Kreis	811.48	186602	6	Hessen	230
129	6440	Wetteraukreis	1100.69	305312	6	Hessen	277
130	6531	Gießen	854.66	267056	6	Hessen	312
131	6532	Lahn-Dill-Kreis	1066.53	254164	6	Hessen	238
132	6533	Limburg-Weilburg	738.46	171971	6	Hessen	233
133	6534	Marburg-Biedenkopf	1262.54	246165	6	Hessen	195
134	6535	Vogelsbergkreis	1458.99	106451	6	Hessen	73
135	6611	Kassel, Stadt	106.78	200736	6	Hessen	1880
136	6631	Fulda	1380.48	221783	6	Hessen	161
137	6632	Hersfeld-Rotenburg	1097.09	121101	6	Hessen	110
138	6633	Kassel	1292.92	236674	6	Hessen	183
139	6634	Schwalm-Eder-Kreis	1538.49	180754	6	Hessen	117
140	6635	Waldeck-Frankenberg	1848.44	157256	6	Hessen	85
141	6636	Werra-Meißner-Kreis	1024.69	101101	6	Hessen	99
142	7111	Koblenz, Stadt	105.25	113844	7	Rheinland-Pfalz	1082
143	7131	Ahrweiler	787.02	128914	7	Rheinland-Pfalz	164
144	7132	Altenkirchen (Westerwald)	642.37	128791	7	Rheinland-Pfalz	200
145	7133	Bad Kreuznach	863.89	157549	7	Rheinland-Pfalz	182
146	7134	Birkenfeld	776.83	80728	7	Rheinland-Pfalz	104
147	7135	Cochem-Zell	692.46	61662	7	Rheinland-Pfalz	89
148	7137	Mayen-Koblenz	817.69	213554	7	Rheinland-Pfalz	261
149	7138	Neuwied	627.04	181655	7	Rheinland-Pfalz	290
150	7140	Rhein-Hunsrück-Kreis	991.07	102938	7	Rheinland-Pfalz	104
151	7141	Rhein-Lahn-Kreis	782.19	122381	7	Rheinland-Pfalz	156
152	7143	Westerwaldkreis	989.0599999999989	201039	7	Rheinland-Pfalz	203
153	7211	Trier, Stadt	117.06	110013	7	Rheinland-Pfalz	940
154	7231	Bernkastel-Wittlich	1167.93	112134	7	Rheinland-Pfalz	96
155	7232	Eifelkreis Bitburg-Prüm	1626.96	98213	7	Rheinland-Pfalz	60
156	7233	Vulkaneifel	911.65	60705	7	Rheinland-Pfalz	67
157	7235	Trier-Saarburg	1102.19	148532	7	Rheinland-Pfalz	135
158	7311	Frankenthal (Pfalz), Stadt	43.88	48417	7	Rheinland-Pfalz	1103
159	7312	Kaiserslautern, Stadt	139.7	99684	7	Rheinland-Pfalz	714
160	7313	Landau in der Pfalz, Stadt	82.94	46292	7	Rheinland-Pfalz	558
161	7314	Ludwigshafen am Rhein, Stadt	77.43	168497	7	Rheinland-Pfalz	2176
162	7315	Mainz, Stadt	97.73	215110	7	Rheinland-Pfalz	2201
163	7316	Neustadt an der Weinstraße, Stadt	117.09	53353	7	Rheinland-Pfalz	456
164	7317	Pirmasens, Stadt	61.36	40632	7	Rheinland-Pfalz	662
165	7318	Speyer, Stadt	42.71	50931	7	Rheinland-Pfalz	1192
166	7319	Worms, Stadt	108.73	83081	7	Rheinland-Pfalz	764
167	7320	Zweibrücken, Stadt	70.64	34270	7	Rheinland-Pfalz	485
168	7331	Alzey-Worms	588.07	128519	7	Rheinland-Pfalz	219
169	7332	Bad Dürkheim	594.61	132739	7	Rheinland-Pfalz	223
170	7333	Donnersbergkreis	645.43	75102	7	Rheinland-Pfalz	116
171	7334	Germersheim	463.32	128477	7	Rheinland-Pfalz	277
172	7335	Kaiserslautern	639.98	105649	7	Rheinland-Pfalz	165
173	7336	Kusel	573.58	70764	7	Rheinland-Pfalz	123
174	7337	Südliche Weinstraße	639.97	110622	7	Rheinland-Pfalz	173
175	7338	Rhein-Pfalz-Kreis	304.99	153629	7	Rheinland-Pfalz	504
176	7339	Mainz-Bingen	605.37	209785	7	Rheinland-Pfalz	347
177	7340	Südwestpfalz	953.56	95474	7	Rheinland-Pfalz	100
178	8111	Stuttgart, Stadt	207.33	632743	8	Baden-Württemberg	3052
179	8115	Böblingen	617.79	389548	8	Baden-Württemberg	631
180	8116	Esslingen	641.28	532447	8	Baden-Württemberg	830
181	8117	Göppingen	642.33	256345	8	Baden-Württemberg	399
182	8118	Ludwigsburg	686.75	542630	8	Baden-Württemberg	790
183	8119	Rems-Murr-Kreis	858.09	424878	8	Baden-Württemberg	495
184	8121	Heilbronn, Stadt	99.89	125113	8	Baden-Württemberg	1253
185	8125	Heilbronn	1099.94	340772	8	Baden-Württemberg	310
186	8126	Hohenlohekreis	776.76	111392	8	Baden-Württemberg	143
187	8127	Schwäbisch Hall	1484.07	194203	8	Baden-Württemberg	131
188	8128	Main-Tauber-Kreis	1304.13	132189	8	Baden-Württemberg	101
189	8135	Heidenheim	627.11	132006	8	Baden-Württemberg	210
190	8136	Ostalbkreis	1511.36	312422	8	Baden-Württemberg	207
191	8211	Baden-Baden, Stadt	140.19	54718	8	Baden-Württemberg	390
192	8212	Karlsruhe, Stadt	173.42	311919	8	Baden-Württemberg	1799
193	8215	Karlsruhe	1085.27	442673	8	Baden-Württemberg	408
194	8216	Rastatt	738.42	230216	8	Baden-Württemberg	312
195	8221	Heidelberg, Stadt	108.89	160601	8	Baden-Württemberg	1475
196	8222	Mannheim, Stadt	144.97	307997	8	Baden-Württemberg	2125
197	8225	Neckar-Odenwald-Kreis	1125.95	143376	8	Baden-Württemberg	127
198	8226	Rhein-Neckar-Kreis	1061.54	546745	8	Baden-Württemberg	515
199	8231	Pforzheim, Stadt	98.07	124289	8	Baden-Württemberg	1267
200	8235	Calw	797.31	157424	8	Baden-Württemberg	197
201	8236	Enzkreis	573.62	198369	8	Baden-Württemberg	346
202	8237	Freudenstadt	870.39	117456	8	Baden-Württemberg	135
203	8311	Freiburg im Breisgau, Stadt	153.04	229636	8	Baden-Württemberg	1500
204	8315	Breisgau-Hochschwarzwald	1378.31	262405	8	Baden-Württemberg	190
