id_county	county	size	population	id_state	state	density
15090	Stendal	2423.25	113186	15	Sachsen-Anhalt	46.70834622923759
15091	Wittenberg	1930.4700000000003	126815	15	Sachsen-Anhalt	65.69125653338305
16051	Erfurt, Stadt	269.91	212988	16	Thüringen	789.1074802712014
16052	Gera, Stadt	152.19	94859	16	Thüringen	623.2932518562324
16053	Jena, Stadt	114.76	111099	16	Thüringen	968.0986406413384
16054	Suhl, Stadt	103.03	35166	16	Thüringen	341.3180627001844
16055	Weimar, Stadt	84.48	64426	16	Thüringen	762.6183712121211
16056	Eisenach, Stadt	104.17	42710	16	Thüringen	410.00287990784295
16061	Eichsfeld	943.0699999999999	100645	16	Thüringen	106.72060398485797
16062	Nordhausen	713.92	84697	16	Thüringen	118.63654190945765
16063	Wartburgkreis	1307.46	123764	16	Thüringen	94.659874871889
16064	Unstrut-Hainich-Kreis	979.6800000000001	103504	16	Thüringen	105.650824759105
16065	Kyffhäuserkreis	1037.8700000000003	75818	16	Thüringen	73.05153824660118
16066	Schmalkalden-Meiningen	1210.74	122952	16	Thüringen	101.55111749838942
16067	Gotha	936.0800000000002	135521	16	Thüringen	144.7750192291257
16068	Sömmerda	806.86	70027	16	Thüringen	86.78952978211834
16069	Hildburghausen	938.4300000000001	63923	16	Thüringen	68.11696130771607
16070	Ilm-Kreis	843.7299999999999	108830	16	Thüringen	128.98676116767214
16071	Weimarer Land	804.49	82131	16	Thüringen	102.09076557819239
16072	Sonneberg	433.60999999999996	56361	16	Thüringen	129.98085837503749
16073	Saalfeld-Rudolstadt	1036.0199999999995	107368	16	Thüringen	103.63506496013595
16074	Saale-Holzland-Kreis	815.2600000000001	82990	16	Thüringen	101.79574614233495
16075	Saale-Orla-Kreis	1151.33	81501	16	Thüringen	70.78856626683923
16076	Greiz	845.9499999999999	99275	16	Thüringen	117.35327146994504
16077	Altenburger Land	569.44	90650	16	Thüringen	159.19148637257655
