kreis_id	kreis	size	population	bundesland_id	bundesland
5711000	Bielefeld, Stadt	258.82	332552	5	Nordrhein-Westfalen
5754000	Gütersloh	969.21	363049	5	Nordrhein-Westfalen
5758000	Herford	450.41	251539	5	Nordrhein-Westfalen
5762000	Höxter	1201.42	141565	5	Nordrhein-Westfalen
5766000	Lippe	1246.19	349069	5	Nordrhein-Westfalen
5770000	Minden-Lübbecke	1152.41	311207	5	Nordrhein-Westfalen
5774000	Paderborn	1246.78	305362	5	Nordrhein-Westfalen
5911000	Bochum, Stadt	145.66	365529	5	Nordrhein-Westfalen
5913000	Dortmund, Stadt	280.71	586600	5	Nordrhein-Westfalen
5914000	Hagen, Stadt	160.45	187730	5	Nordrhein-Westfalen
5915000	Hamm, Stadt	226.43	179185	5	Nordrhein-Westfalen
5916000	Herne, Stadt	51.42	156490	5	Nordrhein-Westfalen
5954000	Ennepe-Ruhr-Kreis	409.64	324670	5	Nordrhein-Westfalen
5958000	Hochsauerlandkreis	1960.15	261591	5	Nordrhein-Westfalen
5962000	Märkischer Kreis	1061.08	413383	5	Nordrhein-Westfalen
5966000	Olpe	712.14	134808	5	Nordrhein-Westfalen
5970000	Siegen-Wittgenstein	1132.89	277977	5	Nordrhein-Westfalen
5974000	Soest	1328.62	301693	5	Nordrhein-Westfalen
5978000	Unna	543.21	393934	5	Nordrhein-Westfalen
6411000	Darmstadt, Stadt	122.09	158254	6	Hessen
6412000	Frankfurt am Main, Stadt	248.31	746878	6	Hessen
6413000	Offenbach am Main, Stadt	44.89	126658	6	Hessen
6414000	Wiesbaden, Stadt	203.93	278654	6	Hessen
6431000	Bergstraße	719.51	268780	6	Hessen
6432000	Darmstadt-Dieburg	658.63	296048	6	Hessen
6433000	Groß-Gerau	453.03	271403	6	Hessen
6434000	Hochtaunuskreis	482	235995	6	Hessen
6435000	Main-Kinzig-Kreis	1397.55	418208	6	Hessen
6436000	Main-Taunus-Kreis	222.39	236969	6	Hessen
6437000	Odenwaldkreis	623.97	96597	6	Hessen
6438000	Offenbach	356.29	351692	6	Hessen
6439000	Rheingau-Taunus-Kreis	811.48	186602	6	Hessen
6440000	Wetteraukreis	1100.69	305312	6	Hessen
6531000	Gießen	854.66	267056	6	Hessen
6532000	Lahn-Dill-Kreis	1066.53	254164	6	Hessen
6533000	Limburg-Weilburg	738.46	171971	6	Hessen
6534000	Marburg-Biedenkopf	1262.54	246165	6	Hessen
6535000	Vogelsbergkreis	1458.99	106451	6	Hessen
6611000	Kassel, Stadt	106.78	200736	6	Hessen
6631000	Fulda	1380.48	221783	6	Hessen
6632000	Hersfeld-Rotenburg	1097.09	121101	6	Hessen
6633000	Kassel	1292.92	236674	6	Hessen
6634000	Schwalm-Eder-Kreis	1538.49	180754	6	Hessen
6635000	Waldeck-Frankenberg	1848.44	157256	6	Hessen
6636000	Werra-Meißner-Kreis	1024.69	101101	6	Hessen
7111000	Koblenz, Stadt	105.25	113844	7	Rheinland-Pfalz
7131000	Ahrweiler	787.02	128914	7	Rheinland-Pfalz
7132000	Altenkirchen (Westerwald)	642.37	128791	7	Rheinland-Pfalz
7133000	Bad Kreuznach	863.89	157549	7	Rheinland-Pfalz
7134000	Birkenfeld	776.83	80728	7	Rheinland-Pfalz
7135000	Cochem-Zell	692.46	61662	7	Rheinland-Pfalz
7137000	Mayen-Koblenz	817.69	213554	7	Rheinland-Pfalz
7138000	Neuwied	627.04	181655	7	Rheinland-Pfalz
7140000	Rhein-Hunsrück-Kreis	991.07	102938	7	Rheinland-Pfalz
7141000	Rhein-Lahn-Kreis	782.19	122381	7	Rheinland-Pfalz
7143000	Westerwaldkreis	989.059999999999	201039	7	Rheinland-Pfalz
7211000	Trier, Stadt	117.06	110013	7	Rheinland-Pfalz
7231000	Bernkastel-Wittlich	1167.93	112134	7	Rheinland-Pfalz
7232000	Eifelkreis Bitburg-Prüm	1626.96	98213	7	Rheinland-Pfalz
7233000	Vulkaneifel	911.65	60705	7	Rheinland-Pfalz
7235000	Trier-Saarburg	1102.19	148532	7	Rheinland-Pfalz
7311000	Frankenthal (Pfalz), Stadt	43.88	48417	7	Rheinland-Pfalz
7312000	Kaiserslautern, Stadt	139.7	99684	7	Rheinland-Pfalz
7313000	Landau in der Pfalz, Stadt	82.94	46292	7	Rheinland-Pfalz
7314000	Ludwigshafen am Rhein, Stadt	77.43	168497	7	Rheinland-Pfalz
7315000	Mainz, Stadt	97.73	215110	7	Rheinland-Pfalz
