author,country,state,city_or_region,country_iso,adm1,adm2,date,border_control,home_office,closure_leisureandbars,shutdown_publictransport,closure_football_stadiums,lockdown,schools_closed,traveller_quarantine,primary_residence,test_limitations,ban_events_over_1000,misc,source,compliance_estimate,compliance_source
René,Norway,,Lofoten,NO,18,,2020-03-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,People returning from all south-norwegian providences were sent to quarantine,https://www.nrk.no/nordland/vesteralen-og-lofoten-setter-egne-koronakrav_-alle-som-har-vaert-sor-for-dovre-skal-i-karantene-1.14944857,,
René,Norway,,Vesterålen ,NO,18,,2020-03-14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,People returning from all south-norwegian providences were sent to quarantine,https://www.nrk.no/nordland/vesteralen-og-lofoten-setter-egne-koronakrav_-alle-som-har-vaert-sor-for-dovre-skal-i-karantene-1.14944857,,
René,Norway,,,NO,,,2020-03-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Just People with respiratory complaints are tested. People in quarantine without respiratory complaints are not tested anymore and shall not contact health authorities unless they really need help,https://www.fhi.no/nyheter/2020/nye-testkriterier/,,
Tarek,Peru,,,PE,,,2020-03-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://diariocorreo.pe/politica/martin-vizcarra-clases-en-colegios-publicos-se-postergaron-hasta-el-30-de-marzo-por-coronavirus-peru-medidas-preventivas-noticia/,,
Tarek,Peru,,,PE,,,2020-03-16,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,https://gestion.pe/peru/politica/coronavirus-en-peru-gobierno-anuncia-cuarentena-obligatorio-por-15-dias-por-coronavirus-noticia/,,
Tarek,Peru,,,PE,,,2020-03-18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leaving home between 8pm and 5am forbidden and enforced by police and military,https://larepublica.pe/sociedad/2020/03/19/facebook-toque-de-queda-hombre-que-saco-la-basura-durante-medida-fue-detenido-video-mdga/,,
Vroni,Poland,,,PL,,,2020-03-16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,
Benedikt,South Korea,,,KR,,,2020-03-16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,People coming from european regions,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366568,,
Benedikt,South Korea,,,KR,,,2020-03-17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,People coming from overseas,https://www.straitstimes.com/asia/east-asia/skorea-reports-84-new-coronavirus-cases-total-at-8320,,
Barbara,Switzerland,,,,,,2020-03-16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Switzerland calls for state of emergency and ban on assemblies,https://www.nau.ch/news/europa/schweiz-verhangt-notstand-und-versammlungsverbot-wegen-coronavirus-65679466,,
Boon,Taiwan,,,TW,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Timeline - Pandermic in Taiwan,https://zh.m.wikipedia.org/zh-sg/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E8%87%BA%E7%81%A3%E7%96%AB%E6%83%85,,
